   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
              1        367487.002        20841181.217        20841166.024        52
              7        367487.002        20785476.804        20785461.570        50
             30        367487.002        21844206.898        21844199.948        50
             11        367487.002        20937103.298        20937086.869        49
              8        367487.002        23401019.844        23401001.634        48
             22        367487.002        24275284.644        24275286.357         0
             17        367487.002        24739301.671        24739292.827        44
             28        367487.002        24674988.268        24674979.082        43
              9        367487.002        25275485.147        25275479.344        42
              3        367487.002        25069524.618        25069509.554        42
             16        367487.002        25770776.074        25770767.544        38
            150        367487.002        37689427.114        37689429.419        44
            151        367487.002        38105251.800        38105261.780        42
            153        367487.002        39047662.932        39047683.825        41
            154        367487.002        39766729.554        39766737.135        39
            157        367487.002        37008686.942        37008705.128        45
            155        367487.002        41554875.953        41554884.872        36
            158        367487.002        42051841.774        42051828.063        28
              1        367488.002        20859387.548        20859372.851        52
              7        367488.002        20803794.314        20803779.087        50
             30        367488.002        21862182.384        21862175.473        50
             11        367488.002        20955562.966        20955546.473        50
              8        367488.002        23419714.304        23419696.041        48
             22        367488.002        24293251.633        24293254.106         0
             17        367488.002        24757284.824        24757275.956        44
             28        367488.002        24692885.101        24692875.888        43
              9        367488.002        25294168.521        25294162.261        42
              3        367488.002        25087380.981        25087366.032        42
             16        367488.002        25789447.004        25789438.568        38
            150        367488.002        37707720.896        37707724.908        44
            151        367488.002        38123540.985        38123550.018        42
            153        367488.002        39065954.841        39065976.122        41
            154        367488.002        39785015.884        39785023.147        40
            157        367488.002        37027084.691        37027102.897        45
            155        367488.002        41573065.766        41573074.513        36
            158        367488.002        42070176.134        42070162.411        29
              1        367489.002        20877594.098        20877579.634        52
              7        367489.002        20822111.779        20822096.559        50
             30        367489.002        21880157.829        21880150.930        50
             11        367489.002        20974022.579        20974006.011        50
              8        367489.002        23438408.629        23438390.270        48
             22        367489.002        24311213.653        24311217.268         0
             17        367489.002        24775267.851        24775258.951        44
             28        367489.002        24710781.710        24710772.489        43
              9        367489.002        25312851.670        25312844.965        42
              3        367489.002        25105237.054        25105222.306        42
             16        367489.002        25808117.755        25808109.460        38
            150        367489.002        37726015.839        37726020.199        44
            151        367489.002        38141829.009        38141838.080        42
            153        367489.002        39084247.083        39084268.247        41
            154        367489.002        39803301.857        39803308.970        40
            157        367489.002        37045482.284        37045500.494        45
            155        367489.002        41591255.170        41591263.945        36
            158        367489.002        42088510.295        42088496.560        29
              1        367490.002        20895800.787        20895786.475        52
              7        367490.002        20840429.297        20840414.093        50
             30        367490.002        21898133.300        21898126.428        50
             11        367490.002        20992482.208        20992465.582        50
              8        367490.002        23457102.835        23457084.430        48
             22        367490.002        24329176.249        24329180.625         0
             17        367490.002        24793250.867        24793241.920        44
             28        367490.002        24728678.233        24728668.998        43
              9        367490.002        25331534.208        25331527.566        42
              3        367490.002        25123092.965        25123078.477        41
             16        367490.002        25826788.584        25826780.304        38
            150        367490.002        37744310.886        37744315.429        44
            151        367490.002        38160117.083        38160126.074        42
            153        367490.002        39102539.310        39102560.294        41
            154        367490.002        39821587.627        39821594.744        40
            157        367490.002        37063879.816        37063898.037        45
            155        367490.002        41609444.350        41609453.283        36
            158        367490.002        42106844.397        42106830.588        29
              1        367491.002        20914007.717        20913993.490        52
              7        367491.002        20858746.995        20858731.800        50
             30        367491.002        21916108.933        21916102.076        50
             11        367491.002        21010941.946        21010925.307        50
              8        367491.002        23475797.054        23475778.625        48
             22        367491.002        24347140.185        24347143.801         0
             17        367491.002        24811233.945        24811224.977        44
             28        367491.002        24746574.751        24746565.519        43
              9        367491.002        25350216.526        25350210.178        42
              3        367491.002        25140949.009        25140934.672        41
             16        367491.002        25845459.510        25845451.234        38
            150        367491.002        37762605.990        37762610.701        44
            151        367491.002        38178405.157        38178414.116        42
            153        367491.002        39120831.515        39120852.396        41
            154        367491.002        39839873.328        39839880.547        40
            157        367491.002        37082277.399        37082295.633        45
            155        367491.002        41627633.363        41627642.615        36
            158        367491.002        42125178.387        42125164.613        29
              1        367492.002        20932215.068        20932200.882        52
              7        367492.002        20877065.074        20877049.886        50
             30        367492.002        21934084.912        21934078.072        50
             11        367492.002        21029402.057        21029385.378        50
              8        367492.002        23494491.517        23494473.061        48
             17        367492.002        24829217.296        24829208.320        44
             28        367492.002        24764471.503        24764462.269        43
              9        367492.002        25368898.976        25368892.999        42
              3        367492.002        25158805.378        25158791.089        41
             16        367492.002        25864130.658        25864122.442        38
            157        367492.002        37100675.244        37100693.488        45
            150        367492.002        37780901.512        37780906.222        44
            151        367492.002        38196693.441        38196702.407        42
            153        367492.002        39139123.963        39139144.748        41
            154        367492.002        39858159.512        39858166.617        40
            155        367492.002        41645822.806        41645832.173        36
             22        367492.002        21067396.179        21067397.889         0
             27        367492.002        26070128.142        26070115.985        41
              1        367493.003        20950422.534        20950408.403        52
              7        367493.003        20895383.304        20895368.111        50
             30        367493.003        21952061.003        21952054.187        50
             11        367493.003        21047862.274        21047845.568        50
              8        367493.003        23513185.933        23513167.502        48
             17        367493.003        24847200.683        24847191.715        44
             28        367493.003        24782368.242        24782358.993        43
             22        367493.003        24383069.735        24383064.216         0
              9        367493.003        25387581.539        25387575.790        42
              3        367493.003        25176661.774        25176647.476        41
             16        367493.003        25882801.869        25882793.693        38
            157        367493.003        37119073.107        37119091.353        45
            150        367493.003        37799196.934        37799201.751        44
            151        367493.003        38214981.737        38214990.693        42
            153        367493.003        39157416.243        39157437.089        41
            154        367493.003        39876445.530        39876452.671        40
            155        367493.003        41664012.260        41664021.701        36
             27        367493.003        26088890.734        26088878.578        41
              1        367494.003        20968630.023        20968616.003        52
              7        367494.003        20913701.610        20913686.403        50
             30        367494.003        21970037.143        21970030.346        50
             11        367494.003        21066322.505        21066305.798        50
              8        367494.003        23531880.262        23531861.873        48
             22        367494.003        24401038.207        24401040.300         0
             17        367494.003        24865184.060        24865175.092        44
             28        367494.003        24800264.901        24800255.629        43
              9        367494.003        25406264.184        25406258.492        42
              3        367494.003        25194518.114        25194503.785        41
             16        367494.003        25901473.053        25901464.899        38
            157        367494.003        37137470.917        37137489.174        45
            150        367494.003        37817492.377        37817497.215        44
            151        367494.003        38233269.923        38233278.934        42
            153        367494.003        39175708.590        39175729.386        41
            154        367494.003        39894731.250        39894738.676        40
            155        367494.003        41682201.710        41682211.138        36
             27        367494.003        26107653.284        26107641.085        41
              1        367495.003        20986837.264        20986823.369        52
              7        367495.003        20932019.710        20932004.497        50
             30        367495.003        21988013.060        21988006.283        50
             11        367495.003        21084782.489        21084765.797        50
              8        367495.003        23550574.260        23550555.906        48
             22        367495.003        24418993.180        24418991.468         0
             17        367495.003        24883167.150        24883158.172        44
             28        367495.003        24818161.190        24818151.895        44
              9        367495.003        25424946.433        25424940.804        42
              3        367495.003        25212374.040        25212359.709        41
             16        367495.003        25920143.942        25920135.810        38
            157        367495.003        37155868.401        37155886.662        45
            150        367495.003        37835786.014        37835792.351        44
            151        367495.003        38251560.680        38251566.825        42
            153        367495.003        39194001.169        39194021.332        41
            154        367495.003        39913014.652        39913024.253        40
            155        367495.003        41700390.673        41700400.179        36
             27        367495.003        26126415.482        26126403.220        41
              1        367496.003        21005043.761        21005031.393        52
              7        367496.003        20950338.237        20950323.027        50
             30        367496.003        22005989.401        22005982.628        50
             11        367496.003        21103242.913        21103226.217        50
              8        367496.003        23569268.609        23569250.247        48
             17        367496.003        24901150.593        24901141.614        44
             28        367496.003        24836057.777        24836048.462        44
              9        367496.003        25443628.262        25443623.315        42
              3        367496.003        25230230.283        25230215.947        41
             16        367496.003        25938812.772        25938806.873        38
            157        367496.003        37174266.226        37174284.488        45
            150        367496.003        37854082.622        37854088.191        44
            151        367496.003        38269844.974        38269854.863        42
            153        367496.003        39212295.951        39212313.810        41
            154        367496.003        39931303.403        39931309.451        39
            155        367496.003        41718579.917        41718589.518        36
             27        367496.003        26145177.862        26145165.657        41
             22        367496.003        24436961.286        24436961.286         0
              1        367497.003        21023253.402        21023239.321        52
              7        367497.003        20968656.849        20968641.646        50
             30        367497.003        22023965.788        22023959.037        50
             11        367497.003        21121703.389        21121686.693        50
              8        367497.003        23587962.949        23587944.533        48
             17        367497.003        24919134.022        24919125.055        44
             28        367497.003        24853954.270        24853944.953        44
              9        367497.003        25462312.401        25462305.551        42
             22        367497.003        24454928.797        24454925.943        39
              3        367497.003        25248086.441        25248072.099        41
             16        367497.003        25957485.833        25957477.937        38
            157        367497.003        37192664.002        37192682.274        45
            150        367497.003        37872378.194        37872383.571        44
            151        367497.003        38288134.754        38288142.819        42
            153        367497.003        39230583.621        39230605.897        41
            154        367497.003        39949587.002        39949595.260        39
            155        367497.003        41736769.294        41736778.607        36
             27        367497.003        26163940.217        26163928.011        41
              1        367498.003        21041461.372        21041447.577        52
              7        367498.003        20986975.611        20986960.421        50
             30        367498.003        22041942.327        22041935.579        50
             11        367498.003        21140164.003        21140147.303        50
              8        367498.003        23606657.261        23606638.844        48
             22        367498.003        24472896.206        24472901.344         0
             17        367498.003        24937117.521        24937108.556        44
             28        367498.003        24871850.751        24871841.439        44
              9        367498.003        25480996.066        25480988.359        42
              3        367498.003        25265942.580        25265928.245        41
             16        367498.003        25976156.409        25976149.224        38
            157        367498.003        37211061.813        37211080.092        45
            150        367498.003        37890674.310        37890679.005        44
            151        367498.003        38306422.094        38306430.928        42
            153        367498.003        39248877.644        39248898.081        41
            154        367498.003        39967874.047        39967881.248        40
            155        367498.003        41754958.094        41754967.850        36
             27        367498.003        26182702.636        26182690.359        42
              1        367499.003        21059669.262        21059655.435        52
              7        367499.003        21005294.169        21005278.981        51
             30        367499.003        22059918.629        22059911.876        50
             11        367499.003        21158624.392        21158607.670        50
              8        367499.003        23625351.246        23625332.799        48
             22        367499.003        24490856.421        24490844.433         0
             17        367499.003        24955100.725        24955091.757        44
             28        367499.003        24889746.854        24889737.550        44
              9        367499.003        25499677.612        25499670.490        42
              3        367499.003        25283798.357        25283784.022        41
             16        367499.003        25994827.615        25994820.220        38
            157        367499.003        37229459.294        37229477.572        45
            150        367499.003        37908968.909        37908974.084        44
            151        367499.003        38324711.551        38324718.771        42
            153        367499.003        39267169.737        39267189.974        41
            154        367499.003        39986161.046        39986166.852        40
            155        367499.003        41773146.499        41773156.714        36
             27        367499.003        26201464.681        26201452.337        42
              1        367500.003        21077878.547        21077864.656        52
              7        367500.003        21023614.103        21023598.911        51
             30        367500.003        22077896.269        22077889.530        50
             11        367500.003        21177086.097        21177069.377        50
              8        367500.003        23644046.447        23644027.986        48
             17        367500.003        24973085.214        24973076.239        44
             28        367500.003        24907644.177        24907634.875        44
             22        367500.003        24508811.829        24508796.035         0
              9        367500.003        25518361.201        25518353.826        42
              3        367500.003        25301655.314        25301640.999        41
             16        367500.003        26013500.748        26013492.467        38
            157        367500.003        37247858.014        37247876.298        45
            150        367500.003        37927266.776        37927270.425        45
            151        367500.003        38342997.875        38343008.052        42
            153        367500.003        39285463.672        39285483.259        41
            154        367500.003        40004447.765        40004453.910        40
            155        367500.003        41791336.738        41791346.779        35
